,0
Start,2024-07-01 00:00:00
End,2024-12-31 21:59:00
Duration,183 days 21:59:00
Exposure Time [%],0.0
Equity Final [$],10000000.0
Equity Peak [$],10000000.0
Return [%],0.0
Buy & Hold Return [%],6.481377010543207
Return (Ann.) [%],0.0
Volatility (Ann.) [%],0.0
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,
Max. Drawdown [%],-0.0
Avg. Drawdown [%],
Max. Drawdown Duration,
Avg. Drawdown Duration,
# Trades,0
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg. Trade [%],
Max. Trade Duration,
Avg. Trade Duration,
Profit Factor,
Expectancy [%],
SQN,
_strategy,LiveStrategy
_equity_curve,"                         Equity  DrawdownPct  DrawdownDuration
timestamp                                                     
2024-07-01 00:00:00  10000000.0          0.0               NaN
2024-07-01 00:01:00  10000000.0          0.0               NaN
2024-07-01 00:02:00  10000000.0          0.0               NaN
2024-07-01 00:03:00  10000000.0          0.0               NaN
2024-07-01 00:04:00  10000000.0          0.0               NaN
...                         ...          ...               ...
2024-12-31 21:55:00  10000000.0          0.0               NaN
2024-12-31 21:56:00  10000000.0          0.0               NaN
2024-12-31 21:57:00  10000000.0          0.0               NaN
2024-12-31 21:58:00  10000000.0          0.0               NaN
2024-12-31 21:59:00  10000000.0          0.0               NaN

[179219 rows x 3 columns]"
_trades,"Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []"
